node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
9606.ENSP00000257895,121.0,0.64826,5.0,6.0,125.475,1.0,0.07692,55.32101,11.58264,471.12355,1942.0,0.66667,
9606.ENSP00000427018,2.0,0.0,1.0,2.0,38.819,1.0,0.06667,40.55145,9.88843,467.47558,998.0,0.0,
9606.ENSP00000233242,8.0,0.30779,2.0,8.0,123.18,29.0,0.08333,65.02947,12.04132,8867.20485,39738.0,0.03571,
9606.ENSP00000420180,8.0,0.37893,4.0,4.0,69.387,1.0,0.07143,45.46621,10.33058,125.94143,398.0,0.66667,
9606.ENSP00000250699,3628802.0,0.89787,10.0,12.0,128.67,18.0,0.1,60.97937,11.99174,3953.2967,19318.0,0.68182,
9606.ENSP00000364700,3.0,0.30779,2.0,3.0,72.675,3.0,0.09091,47.57673,11.10744,1346.40402,4236.0,0.33333,
9606.ENSP00000252992,3.0,0.30779,2.0,3.0,64.643,2.0,0.07692,46.54002,10.54959,1747.97099,3282.0,0.33333,
9606.ENSP00000305974,276.0,0.5012,9.0,9.0,134.062,2.0,0.08333,62.21082,12.07438,468.78311,5000.0,0.58333,
9606.ENSP00000309096,241.0,0.66569,6.0,7.0,119.738,4.0,0.09091,53.2171,11.44628,1538.52253,5302.0,0.66667,
9606.ENSP00000270066,2.0,0.30779,2.0,2.0,33.24,1.0,0.07692,39.37369,9.72727,0.0,0.0,1.0,
9606.ENSP00000355991,2.0,0.30779,2.0,2.0,14.17,1.0,0.06667,30.94287,7.82231,0.0,0.0,1.0,
9606.ENSP00000282728,29.0,0.45378,5.0,8.0,111.232,32.0,0.1,60.12262,11.93802,6467.60982,17624.0,0.25,
9606.ENSP00000334379,6.0,0.46346,3.0,3.0,59.277,1.0,0.07143,40.25219,9.69835,0.0,0.0,1.0,
9606.ENSP00000355511,50.0,0.47549,6.0,6.0,68.661,1.0,0.07692,43.71213,10.19008,98.27537,1048.0,0.66667,
9606.ENSP00000265857,24.0,0.56839,4.0,4.0,111.293,1.0,0.08333,53.03106,11.45455,0.0,0.0,1.0,
9606.ENSP00000497691,26.0,0.56839,4.0,6.0,65.086,8.0,0.07692,53.40798,11.20248,3935.78422,17058.0,0.4,
9606.ENSP00000368066,3.0,0.0,1.0,3.0,84.357,7.0,0.1,52.0127,11.71488,1458.56847,3838.0,0.0,
9606.ENSP00000325326,3.0,0.30779,2.0,3.0,71.925,6.0,0.07692,51.57054,11.30992,3648.42051,9964.0,0.33333,
9606.ENSP00000497574,5.0,0.30779,2.0,5.0,114.616,8.0,0.08333,59.82551,11.92149,2470.58254,7818.0,0.1,
9606.ENSP00000362080,25.0,0.56839,4.0,5.0,56.608,2.0,0.07143,45.29516,10.36364,716.55159,1476.0,0.6,
9606.ENSP00000255380,25.0,0.56839,4.0,5.0,122.349,2.0,0.09091,56.58019,11.75207,1692.62951,8440.0,0.6,
9606.ENSP00000318486,7.0,0.46346,3.0,4.0,120.942,2.0,0.11111,53.13929,11.7438,308.77028,2098.0,0.5,
9606.ENSP00000233202,2.0,0.0,1.0,2.0,38.595,6.0,0.1,42.57659,10.6157,1684.50984,6148.0,0.0,
9606.ENSP00000361666,816.0,0.59388,11.0,11.0,134.695,2.0,0.08333,64.87987,12.21074,542.97825,5358.0,0.63636,
9606.ENSP00000384763,2.0,0.0,1.0,2.0,63.722,4.0,0.09091,47.56631,10.96694,232.9089,1452.0,0.0,
9606.ENSP00000369702,24.0,0.56839,4.0,4.0,53.941,1.0,0.07143,43.95231,10.28099,0.0,0.0,1.0,
9606.ENSP00000326424,25.0,0.56839,4.0,5.0,93.545,4.0,0.08333,52.93185,11.50826,710.34859,2458.0,0.6,
9606.ENSP00000221480,4.0,0.0,1.0,4.0,67.33,13.0,0.09091,45.71443,10.81818,3326.57698,17654.0,0.0,
9606.ENSP00000377696,3.0,0.0,1.0,3.0,92.295,4.0,0.08333,54.44297,11.75207,1194.12617,3290.0,0.0,
9606.ENSP00000308535,61.0,0.57059,6.0,7.0,130.893,13.0,0.1,59.72143,12.12397,3102.41948,8538.0,0.57143,
9606.ENSP00000361667,243.0,0.54881,7.0,8.0,122.176,12.0,0.08333,58.90606,11.82231,2670.15376,9620.0,0.53571,
9606.ENSP00000353582,3.0,0.30779,2.0,3.0,92.34,1.0,0.1,51.44008,11.55785,1531.96695,8616.0,0.33333,
9606.ENSP00000249910,3.0,0.30779,2.0,3.0,50.317,3.0,0.07692,43.00477,10.43802,461.7426,1208.0,0.33333,
9606.ENSP00000261007,3628834.0,0.58558,14.0,14.0,129.005,5.0,0.1,62.07579,11.89256,1888.09883,9706.0,0.57143,
9606.ENSP00000339850,54.0,0.43905,7.0,7.0,132.277,5.0,0.11111,60.44921,12.23554,1701.49643,10546.0,0.57143,
9606.ENSP00000264870,2.0,0.0,1.0,2.0,65.173,4.0,0.09091,48.52594,11.30579,1316.4196,4686.0,0.0,
9606.ENSP00000496496,27.0,0.45378,5.0,6.0,120.741,24.0,0.11111,56.93175,11.91736,3195.53393,14812.0,0.46667,
9606.ENSP00000317144,6.0,0.46346,3.0,3.0,64.732,1.0,0.07143,43.49302,10.16116,0.0,0.0,1.0,
9606.ENSP00000265602,13.0,0.47366,4.0,5.0,65.243,1.0,0.07692,43.91797,10.12397,452.18109,1324.0,0.5,
9606.ENSP00000250237,28.0,0.38039,6.0,6.0,119.698,2.0,0.1,54.46349,11.73967,468.83741,3166.0,0.53333,
9606.ENSP00000440689,35.0,0.42794,6.0,12.0,134.848,13.0,0.08333,68.0759,12.28099,4717.90863,28676.0,0.19697,
9606.ENSP00000379845,4.0,0.0,1.0,4.0,100.569,16.0,0.09091,56.20123,11.95868,3999.08578,10150.0,0.0,
9606.ENSP00000354204,24.0,0.56839,4.0,4.0,24.556,1.0,0.06667,31.96963,7.72727,0.0,0.0,1.0,
9606.ENSP00000390625,2.0,0.30779,2.0,2.0,89.72,1.0,0.09091,47.16486,10.91736,0.0,0.0,1.0,
9606.ENSP00000359211,81.0,0.54881,7.0,13.0,134.711,35.0,0.1,71.59841,12.60744,9645.70896,40800.0,0.24359,
9606.ENSP00000438748,2.0,0.30779,2.0,2.0,34.774,1.0,0.07692,39.37369,9.72727,0.0,0.0,1.0,
9606.ENSP00000396045,2.0,0.0,1.0,2.0,90.766,1.0,0.07692,53.02775,11.45455,33.09692,100.0,0.0,
9606.ENSP00000288699,54.0,0.43905,7.0,7.0,131.554,2.0,0.11111,60.44921,12.23554,1701.49643,10546.0,0.57143,
9606.ENSP00000281141,24.0,0.56839,4.0,4.0,102.048,1.0,0.09091,50.72561,11.32231,0.0,0.0,1.0,
9606.ENSP00000264027,7.0,0.2842,4.0,5.0,113.589,2.0,0.07692,55.33371,11.56198,867.12577,5646.0,0.3,
9606.ENSP00000366413,3.0,0.30779,2.0,3.0,89.157,5.0,0.1,52.85278,11.74793,864.53769,5454.0,0.33333,
9606.ENSP00000342222,3.0,0.30779,2.0,3.0,65.702,1.0,0.08333,43.31641,10.28926,126.46804,412.0,0.33333,
9606.ENSP00000405969,2.0,0.0,1.0,2.0,69.459,1.0,0.1,47.15,11.1157,1528.64945,9230.0,0.0,
9606.ENSP00000369927,10.0,0.25931,5.0,7.0,129.935,12.0,0.07692,62.6464,11.96694,3405.43356,14444.0,0.19048,
9606.ENSP00000385035,2.0,0.0,1.0,2.0,35.005,2.0,0.07143,37.72681,9.32645,218.7192,500.0,0.0,
9606.ENSP00000310657,30.0,0.51861,5.0,5.0,81.281,1.0,0.08333,46.46631,10.66942,313.33333,2996.0,0.8,
9606.ENSP00000341815,6.0,0.30779,2.0,6.0,91.117,27.0,0.1,55.46667,11.63223,5632.02535,19022.0,0.13333,
9606.ENSP00000297156,26.0,0.56839,4.0,6.0,117.446,12.0,0.08333,58.20566,11.80165,3268.67481,13684.0,0.4,
9606.ENSP00000382323,2.0,0.0,1.0,2.0,80.741,1.0,0.1,49.98492,11.39256,11.75742,90.0,0.0,
9606.ENSP00000417038,24.0,0.56839,4.0,4.0,54.116,1.0,0.07143,43.95231,10.28099,0.0,0.0,1.0,
9606.ENSP00000280979,4.0,0.30779,2.0,4.0,64.903,5.0,0.07692,46.95715,10.66942,1352.64724,4912.0,0.16667,
9606.ENSP00000480476,4.0,0.0,1.0,4.0,112.752,15.0,0.09091,62.54012,12.23554,3439.11408,10376.0,0.0,
9606.ENSP00000358814,3.0,0.30779,2.0,3.0,53.893,1.0,0.08333,44.36017,10.53719,370.9652,822.0,0.33333,
9606.ENSP00000350896,3.0,0.30779,2.0,3.0,78.754,1.0,0.1,50.07143,11.30165,1472.30458,7630.0,0.33333,
9606.ENSP00000456609,240.0,0.66569,6.0,6.0,125.383,1.0,0.07692,52.7722,11.41322,3.76111,30.0,0.93333,
9606.ENSP00000281830,4.0,0.30779,2.0,4.0,80.04,8.0,0.08333,51.31162,11.27273,2027.04141,7680.0,0.16667,
9606.ENSP00000425556,3.0,0.30779,2.0,3.0,73.023,2.0,0.09091,48.73387,11.35537,993.6972,4214.0,0.33333,
9606.ENSP00000225929,4.0,0.30898,3.0,3.0,99.668,1.0,0.07143,50.58333,11.15289,282.08345,2048.0,0.66667,
9606.ENSP00000260453,722.0,0.71324,6.0,8.0,65.801,4.0,0.08333,46.33153,10.33058,1140.85266,2844.0,0.53571,
9606.ENSP00000258385,3628808.0,0.70248,12.0,12.0,129.005,1.0,0.1,59.7377,11.77686,889.82484,5720.0,0.72727,
9606.ENSP00000254579,6.0,0.46346,3.0,3.0,48.025,1.0,0.09091,39.06209,9.83471,0.0,0.0,1.0,
9606.ENSP00000252951,25.0,0.56839,4.0,5.0,64.963,7.0,0.08333,46.25271,10.5,1896.58464,11184.0,0.6,
9606.ENSP00000326671,72.0,0.57059,6.0,6.0,130.411,1.0,0.08333,56.38662,11.77273,16.99413,172.0,0.8,
9606.ENSP00000433295,6.0,0.2842,4.0,4.0,74.551,2.0,0.08333,46.98265,10.74793,272.92339,1408.0,0.5,
9606.ENSP00000341940,8.0,0.30779,2.0,8.0,85.975,7.0,0.08333,50.14376,10.80579,1506.31179,5860.0,0.07143,
9606.ENSP00000386498,3.0,0.30779,2.0,3.0,40.337,6.0,0.07692,40.25026,9.59917,1464.25131,9326.0,0.33333,
9606.ENSP00000380271,3.0,0.30779,2.0,3.0,43.559,2.0,0.07143,41.12078,9.95041,535.04701,1374.0,0.33333,
9606.ENSP00000249344,6.0,0.2842,4.0,4.0,15.824,2.0,0.06667,31.94287,7.83058,242.0,1416.0,0.5,
9606.ENSP00000378074,721.0,0.69977,8.0,9.0,134.635,2.0,0.08333,62.15963,12.07025,349.383,2794.0,0.66667,
9606.ENSP00000160373,4.0,0.30898,3.0,3.0,14.386,1.0,0.06667,31.44287,7.82645,239.0,1412.0,0.66667,
9606.ENSP00000299565,3628824.0,0.81447,11.0,11.0,129.005,1.0,0.1,58.37817,11.77273,262.17642,1768.0,0.87273,
9606.ENSP00000353013,3.0,0.30779,2.0,3.0,58.906,7.0,0.1,46.30675,10.96694,1865.26165,6352.0,0.33333,
9606.ENSP00000439937,2.0,0.0,1.0,2.0,65.358,2.0,0.1,48.6004,11.3719,997.17651,4432.0,0.0,
9606.ENSP00000265016,25.0,0.56839,4.0,5.0,89.301,1.0,0.08333,48.99257,11.14463,244.84227,986.0,0.6,
