"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP11-54O7.11",10.8349837234142,1.63761241132991,0.290717911707895,5.63299454687656,1.77107060517523e-08,1.11471761210326e-07
"ISG15",2557.66186920411,2.93471632201436,0.321865318849398,9.11783951282904,7.66367955655486e-20,3.26490476481877e-18
"RP11-54O7.18",19.9135706589489,2.31051266232714,0.416533044829808,5.54700927334875,2.90597335253952e-08,1.75233010938616e-07
"RP11-465B22.3",185.357486210757,1.48994406945505,0.334814313003449,4.45006085937462,8.58459589293401e-06,3.22866300921415e-05
"C1orf159",2414.82535809514,1.45175651393375,0.182162483306042,7.96956918672834,1.59228466810265e-15,3.42989434692286e-14
"MIR429",57.7269242853096,1.09409810817342,0.344937415388972,3.17187425707256,0.00151458570944144,0.00361281632674485
"RP11-465B22.8",653.820437454027,1.86847553738089,0.355407135314947,5.25728200624089,1.46200035449476e-07,7.7425223374233e-07
"TTLL10-AS1",160.945630352942,1.39246076734715,0.371293909920326,3.75029250451739,0.000176628411832245,0.000512193514236484
"TNFRSF18",532.55225387026,2.32083719937373,0.289443791678924,8.01826560490957,1.07248703633662e-15,2.38976462238152e-14
"TNFRSF4",462.465241599094,1.01557897906774,0.253947362267492,3.99917120618877,6.35646870846889e-05,0.000201896725991664
"C1QTNF12",180.303857549509,1.50616152730596,0.270241202585519,5.57339707230369,2.49819276884525e-08,1.52564673812211e-07
"RP5-902P8.12",23.1494828035784,1.54257371534122,0.302241737468701,5.10377464165075,3.32944733081565e-07,1.64446194364216e-06
"MIR6726",5.20208649930064,1.05702435190943,0.280697988656142,3.76569977209314,0.000166083267014462,0.000485110237952148
"ACAP3",11743.1165136383,1.07077088586484,0.206938770661003,5.17433674919683,2.28721987798069e-07,1.1656398877938e-06
"RP5-890O3.9",77.6765246570678,1.05560785992239,0.193137275524822,5.46558325964746,4.61387160535029e-08,2.68190388227966e-07
"TAS1R3",187.431795553,1.3166804254868,0.306087076319896,4.30165311556873,1.69528564884541e-05,6.04953821409662e-05
"MIR6808",25.7629468635759,1.03073262919661,0.21921210093332,4.70198782278968,2.57640868842693e-06,1.07270089596838e-05
"NDUFB4P8",3.08941773002576,1.60279661453809,0.380490011209223,4.21245385508095,2.52611332077687e-05,8.6942382207576e-05
"RP4-758J18.13",127.450855539398,1.54872643383607,0.194256059923532,7.97260293679238,1.55366730402939e-15,3.35576720132826e-14
"ATAD3C",2315.56135782438,3.27880908189954,0.399705252140659,8.20306729606272,2.34329935679236e-16,5.82903323116895e-15
"ATAD3B",4139.29912311249,1.71520231814578,0.205813732920107,8.33376030748921,7.83143948676654e-17,2.11153423324221e-15
"ATAD3A",2679.86758231636,1.28341617022884,0.161513034164465,7.94620803743903,1.9230736554208e-15,4.07822772319863e-14
"FNDC10",1101.35429768118,1.145419679462,0.294920844242055,3.88382069909546,0.000102827748895446,0.00031292861426931
"CDK11B",5823.80369859673,1.00322437955313,0.186846410476769,5.36924620062671,7.90664202382073e-08,4.39732349954304e-07
"RP11-345P4.6",102.346275910297,1.27678972362666,0.244491461355786,5.22222623459502,1.76784800679459e-07,9.22399963073097e-07
"CDK11A",5568.14678121844,1.53753872600694,0.260037400694434,5.91275994107356,3.36422322978936e-09,2.43090130313058e-08
"RP1-283E3.8",4754.1031279415,1.45618565356199,0.253443281455551,5.74560763733395,9.159147034168e-09,6.09485486007691e-08
"CALML6",210.948985708507,1.99525274122347,0.351089102115714,5.68303809260893,1.32322781412531e-08,8.53830533343089e-08
"TMEM52",121.7546293817,1.36476488427381,0.304806697873008,4.47747668865996,7.55304720446528e-06,2.8668818326138e-05
"CFAP74",39.2997401314121,1.21278422281547,0.382575811079319,3.17004940640125,0.00152413019799728,0.00363388640365962
"RP11-547D24.1",5.76730961040212,2.61343871264812,0.391945361237164,6.66786488912352,2.5955155256029e-11,2.72139831275443e-10
"GABRD",138.053396860089,2.75172570387602,0.302578161649133,9.09426407007819,9.52291916309638e-20,4.0105979254606e-18
"RP11-547D24.3",1.16347833746281,2.4512476394408,0.619371427581293,3.95763758269116,7.56946893817853e-05,0.000236579870833939
"RP5-892K4.1",86.0682479282255,1.17375643068851,0.237983217856038,4.93209748680069,8.1351295288929e-07,3.7270443694129e-06
"PRKCZ",1279.4137056551,1.02761970723141,0.207178566528781,4.96006765781275,7.04686316653287e-07,3.26690911733398e-06
"SKI",7457.12684448292,-1.27439248539495,0.170682016910802,-7.4664719134468,8.23735455944753e-14,1.33258690229441e-12
"PLCH2.1",2022.92549632093,-1.3295266881709,0.354367380304329,-3.75183146662401,0.000175547461664982,0.000509490890467766
"LINC00982",120.534396327355,-1.91519813851565,0.45202739286075,-4.23690725111794,2.26619691790788e-05,7.88296087563699e-05
"RP11-22L13.1",4.0421147880518,1.29175335261712,0.536215674469781,2.40901826283692,0.0159954975318726,0.0300428629187767
"PRDM16",212.677252264025,-1.87751702770171,0.453993911368987,-4.13555552328927,3.54096983209215e-05,0.000118531520733822
"RP11-168F9.2",8.11530488728527,1.43155508731282,0.346980838386138,4.12574681060547,3.69533638841087e-05,0.000123216477236303
"RP11-46F15.2",44.7656795643158,1.97136588078604,0.29149624810747,6.7629202556982,1.35237683257911e-11,1.49350933182774e-10
"TPRG1L",1881.65848848944,-1.15916667568098,0.229522769115537,-5.05033413524861,4.41037920230464e-07,2.12679766467631e-06
"RP5-1092A11.5",2.60802178996954,2.23260114875723,0.564729410123178,3.95339982075709,7.70485308315261e-05,0.000240278013602581
"CCDC27",92.1613751123883,-1.03980520164109,0.182267962200558,-5.70481608005769,1.16468778595862e-08,7.59099967750491e-08
"EEF1DP6",0.806862127138047,1.45742950211539,0.62831797247177,2.31957315558226,0.0203639794342156,0.0372570647311127
"AJAP1",77.3952473803162,-2.10689195591507,0.258842412084682,-8.13967053909922,3.96354950200723e-16,9.50398437173842e-15
"CHD5",365.45890640123,3.96527062664631,0.490287326437949,8.08764659583375,6.08285970587843e-16,1.41243721627145e-14
"LINC00337",12.9348518328305,3.51669011714905,0.438825261426925,8.01387346232953,1.11151067845307e-15,2.47211745646657e-14
"ACOT7",990.755571330174,1.04513813250623,0.213346323826233,4.8987866946209,9.64302588073447e-07,4.35167556591245e-06
"TNFRSF25",2286.62767395082,1.35297783655679,0.240049967289289,5.636234205049,1.7380896236805e-08,1.0949667363497e-07
"RNU6-731P",3.49924115087675,2.27603118960469,0.446271009879879,5.10010988662992,3.39456346541985e-07,1.67351664307248e-06
"RP11-58A11.2",21.145024022597,1.14559921752693,0.267157563206824,4.28810325927419,1.80205321444687e-05,6.39100267914296e-05
"KLHL21",4910.19151958378,-1.04886347023559,0.207688407638474,-5.05017820764152,4.41398087072426e-07,2.12810585979291e-06
"RP11-312B8.1",11.6378360675081,1.60270490713382,0.263779582325269,6.07592480435998,1.23275170436992e-09,9.67551472934824e-09
